"","pvalue","ARI","Gene","TruePvalue","Clustering","Thinning","GeneSymbol"
"264",8.6527440268352e-67,0.538504917395074,"ENSG00000135390",6.41274834045935e-158,"Univariate","Conditional","ATP5MC2"
"265",0.000320416757275758,0.102846572859146,"ENSG00000130522",4.36616275953567e-54,"Univariate","Conditional","JUND"
"266",2.56891269946069e-24,0.324520752443714,"ENSG00000170144",3.09866275637538e-121,"Univariate","Conditional","HNRNPA3"
"267",3.13579988997559e-29,0.235775822948766,"ENSG00000121316",1.26031337306353e-78,"Univariate","Conditional","PLBD1"
"268",2.6838027056759e-05,0.121499907224199,"ENSG00000077984",6.62638633963602e-52,"Univariate","Conditional","CST7"
"269",0.0865388308322811,0.0441585015940314,"ENSG00000124831",1.16497386886623e-36,"Univariate","Conditional","LRRFIP1"
"270",7.02716359815227e-62,0.459985047596907,"ENSG00000118640",7.29783202169451e-165,"Univariate","Conditional","VAMP8"
"271",0.00285161146444597,0.0949268426217023,"ENSG00000157514",6.49658778397826e-56,"Univariate","Conditional","TSC22D3"
"272",0.000212677942523406,0.126564907629061,"ENSG00000221869",1.77044164542746e-71,"Univariate","Conditional","CEBPD"
"273",7.54296553269829e-13,0.0510023518291828,"ENSG00000179869",5.19252493185092e-90,"Univariate","Conditional","ABCA13"
"274",1.23506301717993e-19,0.315366142074632,"ENSG00000205581",1.52867921516829e-118,"Univariate","Conditional","HMGN1"
"275",0.0451464452432914,0.100052484490167,"ENSG00000165119",3.89915660645227e-72,"Univariate","Conditional","HNRNPK"
"276",0.654313699755306,0.0173593890876717,"ENSG00000121966",1.08745160153841e-20,"Univariate","Conditional","CXCR4"
"277",1.15734249995065e-29,0.296649267394443,"ENSG00000110077",2.63601046976179e-115,"Univariate","Conditional","MS4A6A"
"278",2.01589821750226e-07,0.18369401599519,"ENSG00000124575",2.36312123114801e-77,"Univariate","Conditional","H1-3"
"279",1.1728012807914e-85,0.505117754465278,"ENSG00000131018",1.13593118785867e-156,"Univariate","Conditional","SYNE1"
"280",2.40650088496854e-37,0.387699697804142,"ENSG00000111669",1.1196185037377e-137,"Univariate","Conditional","TPI1"
"281",3.52824269311676e-66,0.417862854234696,"ENSG00000159339",8.47960218024466e-137,"Univariate","Conditional","PADI4"
"282",8.05972945848289e-33,0.3871734775335,"ENSG00000112081",3.25371118430547e-125,"Univariate","Conditional","SRSF3"
"283",0.158340016593008,0.0628932222579472,"ENSG00000120738",2.01828230044027e-25,"Univariate","Conditional","EGR1"
"284",0.951495937772808,0.0309614209970673,"ENSG00000114353",1.48054240987147e-31,"Univariate","Conditional","GNAI2"
"285",6.65447137897896e-05,0.209869618830174,"ENSG00000135821",5.8570233726094e-85,"Univariate","Conditional","GLUL"
"286",1.07693333178478e-45,0.370948186213359,"ENSG00000240972",6.02396015169617e-165,"Univariate","Conditional","MIF"
"287",7.49445639876929e-49,0.347184041642369,"ENSG00000101347",8.70919388995338e-148,"Univariate","Conditional","SAMHD1"
"288",1.88646263897302e-45,0.342925252594702,"ENSG00000105472",5.47030216759743e-160,"Univariate","Conditional","CLEC11A"
"289",2.60115795263201e-39,0.424507257737188,"ENSG00000106153",2.42529164796233e-130,"Univariate","Conditional","CHCHD2"
"290",0.00201950646348379,0.115960492370299,"ENSG00000067560",7.60520864899717e-67,"Univariate","Conditional","RHOA"
"291",2.79736451057339e-30,0.38165965600791,"ENSG00000127184",6.44110482468237e-125,"Univariate","Conditional","COX7C"
"292",0.646697834557088,0.00256945869865747,"ENSG00000171223",0.126572539432097,"Univariate","Conditional","JUNB"
"293",1.5089385046954e-39,0.222194427656217,"ENSG00000124469",1.07317190914357e-138,"Univariate","Conditional","CEACAM8"
"294",0.132490669883593,0.00293860964200127,"ENSG00000030582",1.04930534535888e-07,"Univariate","Conditional","GRN"
"295",1.14266159682634e-09,0.0908931043201388,"ENSG00000184357",7.44697659866934e-66,"Univariate","Conditional","H1-5"
"296",0.000192412749813137,0.0252505906792589,"ENSG00000206172",1.16271228432762e-06,"Univariate","Conditional","HBA1"
"297",0.0796088720838501,0.154596397930223,"ENSG00000121691",2.45284179638779e-54,"Univariate","Conditional","CAT"
"298",1.0059207101756e-34,0.382279771493392,"ENSG00000185624",1.03970396299668e-139,"Univariate","Conditional","P4HB"
